num__capital_prestado,num__plazo_meses,num__edad_cliente,num__salario_cliente,num__total_otros_prestamos,num__cuota_pactada,num__cant_creditosvigentes,num__creditos_sectorFinanciero,num__creditos_sectorCooperativo,num__creditos_sectorReal,num__promedio_ingresos_datacredito,cat__tipo_laboral_Empleado,cat__tipo_laboral_Independiente
2775480.0,6.0,50.0,2800000.0,500000.0,411953.0,6.0,4.0,0.0,1.0,1210000.0,1.0,0.0
3778800.0,6.0,23.0,2200000.0,300000.0,562178.0,3.0,1.0,1.0,0.0,1418612.0,1.0,0.0
1201920.0,6.0,40.0,2000000.0,900000.0,178208.0,3.0,1.0,0.0,0.0,1810913.0,1.0,0.0
8496000.0,6.0,68.0,12000000.0,6000000.0,1262748.0,5.0,5.0,0.0,0.0,1210000.0,0.0,1.0
2138400.0,12.0,44.0,2000000.0,300000.0,167793.0,3.0,1.0,0.0,1.0,1210000.0,0.0,1.0
3336000.0,6.0,32.0,6000000.0,500000.0,495937.0,6.0,6.0,0.0,0.0,2316933.0,0.0,1.0
720000.0,6.0,35.0,8000000.0,2500000.0,107471.0,13.0,7.0,0.0,1.0,1210000.0,0.0,1.0
983404.7999999999,12.0,36.0,2390000.0,474000.0,80140.0,5.0,1.0,0.0,2.0,921363.0,0.0,1.0
1604400.0,2.0,28.0,5000000.0,2000000.0,632696.0,30.0,25.0,0.0,3.0,3271433.0,0.0,1.0
1826281.2,6.0,34.0,5500000.0,1000000.0,271438.0,8.0,4.0,1.0,0.0,6296382.0,1.0,0.0
1827480.0,12.0,38.0,2000000.0,590000.0,126908.0,5.0,2.0,0.0,2.0,616333.0,0.0,1.0
5961600.0,8.0,33.0,12000000.0,6000000.0,677596.0,12.0,5.0,0.0,5.0,895204.0,0.0,1.0
475200.0,6.0,47.0,1800000.0,400000.0,70580.0,7.0,1.0,3.0,3.0,1115188.0,1.0,0.0
3420720.0,6.0,55.0,5000000.0,3000000.0,508047.0,16.0,9.0,0.0,5.0,33334.0,0.0,1.0
5248310.399999999,11.0,53.0,6000000.0,2000000.0,408333.0,11.0,4.0,0.0,5.0,916148.0,0.0,1.0
5904000.0,6.0,38.0,6000000.0,1500000.0,877754.0,6.0,5.0,0.0,0.0,1210000.0,1.0,0.0
4800000.0,12.0,56.0,2500000.0,900000.0,333333.0,3.0,3.0,0.0,0.0,1816666.0,1.0,0.0
3091590.0,9.0,31.0,5600000.0,2400000.0,289696.0,6.0,3.0,0.0,0.0,6425688.0,1.0,0.0
1956000.0,24.0,24.0,2500000.0,150000.0,87159.0,4.0,0.0,0.0,4.0,1006060.0,1.0,0.0
1358520.0,6.0,62.0,1690000.0,98000.0,205188.0,2.0,1.0,0.0,1.0,1210000.0,0.0,1.0
1680000.0,12.0,33.0,1500000.0,700000.0,131824.0,3.0,2.0,0.0,1.0,1210000.0,0.0,1.0
964020.0,7.0,61.0,0.0,0.0,113978.0,1.0,1.0,0.0,0.0,615779.0,0.0,1.0
2601186.0,10.0,50.0,2900000.0,1800000.0,220968.0,3.0,2.0,0.0,0.0,3222188.0,1.0,0.0
1787880.0,12.0,55.0,10000000.0,4000000.0,124158.0,9.0,6.0,0.0,2.0,1968483.0,0.0,1.0
4068000.0,12.0,36.0,2000000.0,600000.0,319600.0,8.0,3.0,0.0,1.0,1210000.0,0.0,1.0
1540207.2,11.0,55.0,3000000.0,2500000.0,120928.0,5.0,3.0,1.0,1.0,1284518.0,0.0,1.0
889803.6,12.0,48.0,4500000.0,1800000.0,70541.0,7.0,4.0,0.0,0.0,4457948.0,1.0,0.0
1320000.0,12.0,31.0,3500000.0,1000000.0,103619.0,4.0,1.0,0.0,1.0,835844.0,0.0,1.0
2883840.0,12.0,32.0,2750000.0,1066000.0,230009.0,11.0,8.0,0.0,1.0,3039039.0,1.0,0.0
1675842.0,11.0,42.0,3200000.0,1000000.0,130608.0,6.0,1.0,1.0,4.0,1047068.0,0.0,1.0
2229120.0,6.0,23.0,2308000.0,819000.0,343471.0,7.0,2.0,0.0,4.0,1026666.0,0.0,1.0
1481194.8,11.0,59.0,1500000.0,700000.0,125405.0,3.0,2.0,0.0,0.0,1210000.0,0.0,1.0
756000.0,6.0,34.0,1600000.0,200000.0,113644.0,8.0,4.0,1.0,2.0,1270632.0,0.0,1.0
554432.4,12.0,48.0,1200000.0,300000.0,43613.0,8.0,2.0,0.0,3.0,1210000.0,0.0,1.0
2460960.0,24.0,32.0,2200000.0,650000.0,107584.0,8.0,2.0,6.0,0.0,2359858.0,1.0,0.0
999780.0,10.0,26.0,2000000.0,600000.0,92509.0,0.0,0.0,0.0,0.0,61000.0,1.0,0.0
2138400.0,10.0,55.0,1600000.0,400000.0,197669.0,4.0,1.0,0.0,2.0,1122763.0,1.0,0.0
4266360.0,6.0,51.0,3677644.0,1092000.0,638946.0,5.0,0.0,0.0,4.0,3677644.0,1.0,0.0
